id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,release_date,album_id,album_name,track_number,preview_url
3rUGC1vUpkDG9CZFHMur1t,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,131872,1,True,92,2023-09-15,3UOV8XvCwMKaATRNXrYCjN,greedy,1,https://p.scdn.co/mp3-preview/ca7bdcb691fb64a5af8a3253b89356390664fcf1?cid=29942d75c20b46b9b01eb4cd31edff20
3xMHXmedL5Rvfxmiar9Ryv,0.575,0.845,0,-5.28,1,0.0852,0.393,0.0107,0.131,0.439,95.047,200374,4,False,80,2023-09-05,3WLJmMZUeDOuERFAk1Mxs6,Jawan,2,https://p.scdn.co/mp3-preview/205de8d72d229b1a6d45da2f8b2b6f1933a1c943?cid=29942d75c20b46b9b01eb4cd31edff20
2J6OF7CkpdQGSfm1wdclqn,0.583,0.344,2,-8.765,1,0.0559,0.774,0.0,0.143,0.581,65.203,110129,3,True,86,2020-02-07,3vi20DRHkqv4HyVg9Rt9wC,Fuck The World,2,https://p.scdn.co/mp3-preview/8663094142e97cb5a91c978319675555449040df?cid=29942d75c20b46b9b01eb4cd31edff20
3dYD57lRAUcMHufyqn9GcI,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241688,4,False,85,2014-07-20,0Uv83rRhY5QvHKkQoULRKk,Hozier,1,
3vkCueOmm7xQDoJ17W1Pm3,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,137773,4,False,86,2023-09-15,2Cn1d2KgbkAqbZCJ1RzdkA,The Land Is Inhospitable and So Are We,7,https://p.scdn.co/mp3-preview/2f90c9a6a2b6e38554d3bc3cf7512c2c70ac67b9?cid=29942d75c20b46b9b01eb4cd31edff20
5v3J1lYjtJgEM1buAa1Oe5,0.886,0.388,9,-10.874,1,0.0498,0.0767,0.0123,0.106,0.133,119.016,181513,4,False,52,2023-09-14,70ilvvEPW7LENYdB2Vj5rl,M.,1,https://p.scdn.co/mp3-preview/4d97d69cf58f23b8640c784337e9ab9940e019e1?cid=29942d75c20b46b9b01eb4cd31edff20
3MJhPqL2IgGs7gHEB2M35q,0.654,0.768,5,-5.007,1,0.0431,0.00616,0.0,0.202,0.505,104.97,162570,4,True,72,2022-09-16,7jaSNQUBJbvfbZHLNFrV7P,BORN PINK,5,https://p.scdn.co/mp3-preview/27158b0133d5035ab321f59cec2fc456db9632c0?cid=29942d75c20b46b9b01eb4cd31edff20
1daDRI9ahBonbWD8YcxOIB,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981,196453,4,False,89,2020-11-27,5BRhg6NSEZOj0BR6Iz56fR,Plastic Hearts,3,https://p.scdn.co/mp3-preview/4db8314199c0d49e95c786792ecd06eadae9f510?cid=29942d75c20b46b9b01eb4cd31edff20
3KZCP2StVGdWkOKyRZNWA4,0.841,0.774,6,-4.963,0,0.0421,0.117,2.66e-06,0.0674,0.494,95.006,192120,4,False,84,2010-07-20,4s9iYsrtBIvkZn5AEbUbl0,House of Pleasure,6,https://p.scdn.co/mp3-preview/4f1c58e01a5b61801870756f9bd88bcf25b7a285?cid=29942d75c20b46b9b01eb4cd31edff20
7ro0hRteUMfnOioTFI5TG1,0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,231704,4,True,93,2023-05-18,5gCcb5fsSb6w5K8SyJrgtB,WHERE SHE GOES,1,https://p.scdn.co/mp3-preview/b9b7e4c982b33ee23c4867f7a3025e3598c35760?cid=29942d75c20b46b9b01eb4cd31edff20
