id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,release_date,album_id,album_name,track_number,preview_url
35NkPKSmtu6lCht95nukpr,0.723,0.631,8,-7.302,0,0.49,0.1,0.0,0.289,0.486,159.913,158971,4,True,54,2023-04-07,42wum3mrRoMbV9QoZqpIZK,WTF (feat. Nicki Minaj),1,
0Ke17Xm0lk1flqdkFW3bqs,0.557,0.664,8,-6.113,1,0.0406,0.161,0.0,0.128,0.189,123.047,183400,4,False,55,2023-05-12,1YV5gnob3qCnMQuVomwGwG,Love Again (Soundtrack from the Motion Picture),2,https://p.scdn.co/mp3-preview/0466c6c4b4201400d4731c471db939a04823ae3c?cid=29942d75c20b46b9b01eb4cd31edff20
3ZxFwvVCknVHJXiURDE5BW,0.591,0.762,1,-4.855,1,0.0285,0.00156,0.0,0.329,0.645,93.979,160253,4,False,53,2023-04-28,2WSeZEFsZKPJQ09abZCIaz,NATE SMITH (DELUXE),2,https://p.scdn.co/mp3-preview/62c38a5302e4f59e175c5a4f7b51cb3fbeebccd1?cid=29942d75c20b46b9b01eb4cd31edff20
12usPU2WnqgCHAW1EK2dfd,0.479,0.898,1,-4.809,1,0.169,0.0134,0.0,0.297,0.639,151.99,196467,4,False,85,2023-07-07,4QjNVlIw8Rx6jItSZtn2VS,青のすみか,1,https://p.scdn.co/mp3-preview/f70c128ef08dda2b1a5d2ed9e996358fb1656634?cid=29942d75c20b46b9b01eb4cd31edff20
3GIIWN4clCuforFuVsS768,0.678,0.786,7,-6.391,1,0.0378,0.0345,0.0,0.0799,0.602,105.002,193440,4,False,51,2023-08-31,0kScLT4hNA8lPemoLxRz40,Where Do We Go From Here?,1,https://p.scdn.co/mp3-preview/00766aad81db87d1f2da349e38475cd3d05f76d0?cid=29942d75c20b46b9b01eb4cd31edff20
7IaZ2WDYVYi0OImUNQm6Vl,0.252,0.538,0,-5.806,0,0.0349,0.268,0.00872,0.326,0.102,175.298,242240,4,False,43,2023-04-28,3RBAnTbN7fcba7VRpQi14P,Fine Line / Eat The Acid,2,https://p.scdn.co/mp3-preview/eb8aa4af01347cf1c6483df07008ef3571857d59?cid=29942d75c20b46b9b01eb4cd31edff20
3ZKDfVjmrkkcO3YFCRKdtU,0.682,0.446,10,-8.152,0,0.0596,0.0995,0.00172,0.431,0.746,104.855,169973,4,False,41,2023-04-12,5BNUgsVK7qqfFnV046qHfW,Gloria (Special Edition),9,
5Gfnj8IW7A0YmmPyUzFoQp,0.498,0.929,7,-5.393,1,0.0786,0.101,0.0,0.112,0.331,80.991,295560,4,False,44,2023-10-13,2yyDNz8lkP0igqZfZzEgv0,Jonny,1,https://p.scdn.co/mp3-preview/4dc760225d0b315ed69aa2c2ae747794804e93f5?cid=29942d75c20b46b9b01eb4cd31edff20
4367dXCt02KMgELPisJ2D4,0.736,0.645,1,-5.195,1,0.0807,0.0724,0.00086,0.136,0.201,132.024,188870,3,True,81,2023-08-18,5bHwBaNZKESVBhqCvs4Ify,HVN ON EARTH,1,
3p5JD79PQP737dyEY2hnmf,0.589,0.748,6,-4.767,0,0.0259,0.000438,0.0349,0.16,0.334,115.01,238946,4,False,67,2023-03-24,3QWc9HhBWgk9dIEwOkJx4q,Memento Mori,3,https://p.scdn.co/mp3-preview/36170d0b287ae83eb1069920f02400d7f7fd569a?cid=29942d75c20b46b9b01eb4cd31edff20
2SWqVCbl51UX5xgDHvE1uT,0.67,0.409,0,-10.406,1,0.106,0.625,0.0,0.211,0.595,80.468,168095,4,True,63,2023-07-07,2T7LuxZRr6SQMgABLtoYTH,Sunburn,5,https://p.scdn.co/mp3-preview/c998b695fcce6d72e1894aa8ccf852678ada47f3?cid=29942d75c20b46b9b01eb4cd31edff20
3wT58LylGS5wfXLBWRsMaZ,0.403,0.888,9,-7.063,0,0.0621,3.21e-05,0.956,0.0706,0.193,170.048,48867,4,False,60,2023-10-04,68w73FF3dYC6C3RWdcV0Yl,THE BOOK 3,2,https://p.scdn.co/mp3-preview/87f47123892146393e67f066def16c540047c51f?cid=29942d75c20b46b9b01eb4cd31edff20
3vk9ndnZ0Zjrthm1E7kaNa,0.681,0.488,1,-7.936,1,0.327,0.00384,0.0,0.121,0.275,77.976,204642,4,True,58,2023-05-26,6ciIG1XKTlVIn0Yl8rvsce,Almost Healed,13,https://p.scdn.co/mp3-preview/a34e1c7d7cf080e743b2b39691f1a38937651783?cid=29942d75c20b46b9b01eb4cd31edff20
3TMEpIdETnJEm2zEIARovE,0.557,0.843,7,-4.519,1,0.0875,0.00132,0.0,0.109,0.811,129.511,232787,4,True,1,2023-08-21,1e7HgWnZQuznHyqUBrd8PT,Hip Hop Mixtape 2023 by STOKED,34,
